"nobs","Mmod","Smod","kernel","logISE","bandwidth","timing"
125,1,1,"Wishart",NA,0.0950373486183234,1.09997725486755
125,1,1,"smlnorm",NA,0.149924939332812,0.00784468650817871
125,1,1,"Wishart",NA,0.330195056974634,0.954164743423462
125,1,1,"smlnorm",NA,0.153139476271349,0.0082244873046875
125,1,1,"Wishart",NA,0.209799635764703,1.01225209236145
125,1,1,"smlnorm",NA,0.171536561710066,0.00783300399780273
125,1,1,"Wishart",NA,0.320318912756955,0.974035501480103
125,1,1,"smlnorm",NA,0.213222970500993,0.00719666481018066
125,1,1,"Wishart",NA,0.116039413016472,1.07735848426819
125,1,1,"smlnorm",NA,0.074034131653941,0.00820279121398926
125,1,1,"Wishart",NA,0.365025709882316,0.952703952789307
125,1,1,"smlnorm",NA,0.0741674549316974,0.00887131690979004
125,1,1,"Wishart",NA,0.196167616598846,0.98116660118103
125,1,1,"smlnorm",NA,0.179000687867779,0.00753116607666016
125,1,1,"Wishart",NA,0.206862409677771,0.989733457565308
125,1,1,"smlnorm",NA,0.196565799553055,0.00792956352233887
125,1,1,"Wishart",NA,0.185183212358355,1.05398559570312
125,1,1,"smlnorm",NA,0.120230712730371,0.0082547664642334
125,1,1,"Wishart",NA,0.215168145636078,0.967135190963745
125,1,1,"smlnorm",NA,0.163609620478915,0.00684165954589844
125,1,1,"Wishart",NA,0.133384782810473,0.954250574111938
125,1,1,"smlnorm",NA,0.122808761083533,0.00855851173400879
125,1,1,"Wishart",NA,0.185154902560434,1.05664825439453
125,1,1,"smlnorm",NA,0.163358663651193,0.00716900825500488
125,1,1,"Wishart",NA,0.335382105069419,0.991379499435425
125,1,1,"smlnorm",NA,0.112725027152963,0.00825691223144531
125,1,1,"Wishart",NA,0.202959758574339,1.00153040885925
125,1,1,"smlnorm",NA,0.101641232384253,0.00821065902709961
125,1,1,"Wishart",NA,0.259572621947545,0.954385280609131
125,1,1,"smlnorm",NA,0.147261462929238,0.00801372528076172
125,1,1,"Wishart",NA,0.211803343369439,0.971615791320801
