"replication","nobs","model","combo","kernel","criterion","logISE","logIAE","bandwidth","time_min"
1,125,1,1,"smlnorm","lcv",0.00199973090965456,0.518477222845215,0.226548266510664,6.72220200697581
1,125,1,2,"Wishart","lscv",0.0027472176422117,0.628368458959768,0.120089968334324,28.6600731452306
1,125,1,3,"smnorm","lcv",0.00527941702883404,0.66556603836655,1.90936336476384,2.424653895696
1,125,1,4,"smlnorm","lscv",0.00295068670559639,0.560367720772467,0.133535262451065,9.89946063756943
1,125,1,5,"Wishart","lcv",0.00272114447529729,0.640332179246386,0.128895934165869,26.504020635287
1,125,2,1,"smlnorm","lcv",0.00131151462706086,0.382639555122778,0.212263633306541,5.28508147398631
1,125,2,2,"Wishart","lscv",0.0015934760635144,0.695489622809051,0.16889648204752,14.292064678669
1,125,2,3,"smnorm","lcv",0.00250668252624856,0.480233648666286,2.5253032015756,1.99686626593272
1,125,2,4,"smlnorm","lscv",0.0039019069746742,0.445498690543012,0.0835377057491612,15.1082583228747
1,125,2,5,"Wishart","lcv",0.00159060328356159,0.49944567928569,0.101338013700477,24.9315237959226
1,125,3,1,"smlnorm","lcv",21.6178210605123,0.433418916444354,0.149970712009358,3.92001005411148
1,125,3,2,"Wishart","lscv",14.2002545069635,0.411638074856955,0.047582747089926,42.1443895220757
1,125,3,3,"smnorm","lcv",129.958083555348,1.1894038879564,1.3106655033821,0.34242115020752
1,125,3,4,"smlnorm","lscv",16.8457037507228,0.407225435159686,0.102357521291233,5.57195085287094
1,125,3,5,"Wishart","lcv",17.7150753831048,0.404819517347325,0.0840504898664766,22.0562696258227
1,125,4,1,"smlnorm","lcv",7.86632762767029,0.404420610600941,0.170739652825955,3.20162702004115
1,125,4,2,"Wishart","lscv",6.38666603416217,0.379150252127627,0.0589166144618137,22.717698208491
1,125,4,3,"smnorm","lcv",34.9719401185946,0.913545505585155,0.0470739084104198,0.772868569691976
1,125,4,4,"smlnorm","lscv",6.5895400848437,0.379631972255585,0.13531497504976,4.00141417185465
1,125,4,5,"Wishart","lcv",7.62191944784607,0.404941611269821,0.074966778601876,16.0966140627861
1,125,5,1,"smlnorm","lcv",0.0928383564198228,0.361648535182154,0.637257435761929,3.79448819557826
1,125,5,2,"Wishart","lscv",0.0411298795483937,NA,0.796427203322648,2.53585916757584
1,125,5,3,"smnorm","lcv",0.0622085966028196,0.947295825928301,9.99995629862839,0.305476621786753
1,125,5,4,"smlnorm","lscv",0.143732759696174,0.37705975734087,0.363453164663398,7.20580507119497
1,125,5,5,"Wishart","lcv",0.0627711987645254,0.605683883789385,0.237681473085509,23.4105226397514
1,125,6,1,"smlnorm","lcv",NA,0.543044524842291,1.48595247087533,4.5076747695605
1,125,6,2,"Wishart","lscv",NA,NA,9.99994039198622,0.318936089674632
1,125,6,3,"smnorm","lcv",NA,0.986388222448073,0.627245310609471,0.249279789129893
1,125,6,4,"smlnorm","lscv",NA,0.494237439104629,0.784567032989629,6.97696344455083
1,125,6,5,"Wishart","lcv",NA,NA,5.34727656451687,0.17887993256251
2,125,1,1,"smlnorm","lcv",0.00422646695154387,0.49443844980853,0.274292963300707,5.69175887107849
2,125,1,2,"Wishart","lscv",0.00270799312712857,0.736011369386399,0.202128954218584,19.9407907366753
2,125,1,3,"smnorm","lcv",0.00413022251899411,0.654491988667984,1.08864206763441,3.01265356938044
2,125,1,4,"smlnorm","lscv",0.00615924112908894,0.467018900407272,0.149399337807826,9.66850065390269
2,125,1,5,"Wishart","lcv",0.00289122393614002,0.654623585918139,0.164837661045323,24.3818803906441
2,125,2,1,"smlnorm","lcv",0.00147310269937178,0.447031597252337,0.198795182359886,4.62922797997793
2,125,2,2,"Wishart","lscv",0.000932354259543078,0.588510096622119,0.127905245608249,17.7077078779538
2,125,2,3,"smnorm","lcv",0.00188120961854136,0.488324945905111,2.02367033238041,1.86822793483734
2,125,2,4,"smlnorm","lscv",0.00149003026902213,0.443624937106957,0.191841216385394,4.76286730766296
2,125,2,5,"Wishart","lcv",0.0010233740803169,0.507091376525331,0.0921060165653544,25.3101578911146
2,125,3,1,"smlnorm","lcv",21.2959834144185,0.516764304079347,0.144968047397819,3.35283271074295
2,125,3,2,"Wishart","lscv",17.2840029034348,0.549730869003478,0.0409259160398634,45.4256689588229
2,125,3,3,"smnorm","lcv",124.805717722777,1.17820883857374,0.0404938030193535,0.866590046882629
2,125,3,4,"smlnorm","lscv",15.5562716084559,0.531579744188914,0.069492448393742,8.37389570474625
2,125,3,5,"Wishart","lcv",23.0370743577596,0.523061640032495,0.0830478016172117,18.664007238547
2,125,4,1,"smlnorm","lcv",8.21094848819765,0.429558536528733,0.188538643178085,2.89957466920217
2,125,4,2,"Wishart","lscv",7.68383355464238,0.413520218349828,0.0660326682581893,20.137141875426
2,125,4,3,"smnorm","lcv",37.9830927880576,0.989450547381746,0.104019243832735,0.580983702341715
2,125,4,4,"smlnorm","lscv",6.31900608584736,0.393488442978942,0.136476295022422,4.16473173300425
2,125,4,5,"Wishart","lcv",9.10297944965451,0.441654179543349,0.0820823346009826,14.7416666348775
2,125,5,1,"smlnorm","lcv",0.016481405031052,0.378228717090306,0.583952204202363,3.96476302146912
2,125,5,2,"Wishart","lscv",0.016454539695133,0.560865980523662,0.235078488336694,24.4749213894208
2,125,5,3,"smnorm","lcv",0.0621310955919096,0.954966605356851,9.99995500927953,0.373244412740072
2,125,5,4,"smlnorm","lscv",0.0162797130491316,0.380073360207788,0.484220476147921,4.82943549950918
2,125,5,5,"Wishart","lcv",0.0164220402116002,0.545908195877038,0.223304758462767,25.8902617812157
2,125,6,1,"smlnorm","lcv",647409.430179809,0.56473292142347,2.14047816945441,3.26448174317678
2,125,6,2,"Wishart","lscv",NA,NA,9.99994039198622,0.305752992630005
2,125,6,3,"smnorm","lcv",NA,0.875055550641123,0.171057840457593,0.601701410611471
2,125,6,4,"smlnorm","lscv",1009948.93474981,0.397721872525458,0.725870930555668,8.61694740056992
2,125,6,5,"Wishart","lcv",NA,NA,9.99995507883287,0.270877130826314
3,125,1,1,"smlnorm","lcv",0.00238292007330513,0.520578702642932,0.211334895113526,6.07624083360036
3,125,1,2,"Wishart","lscv",0.00184544801170659,0.732463050764836,0.15673203561762,20.5993038574855
3,125,1,3,"smnorm","lcv",0.00540524885012945,0.734933311697453,2.15165637580067,2.08144555489222
3,125,1,4,"smlnorm","lscv",0.00255841190347944,0.513257223778564,0.176633294244272,7.01485432386398
3,125,1,5,"Wishart","lcv",0.00192574966166208,0.640752022015381,0.108926956332898,28.6445673505465
3,125,2,1,"smlnorm","lcv",0.00248901218882551,0.487555495052646,0.219424241981982,4.3225390513738
3,125,2,2,"Wishart","lscv",0.00197237020409656,0.613371969460371,0.122185680995448,20.918261440595
3,125,2,3,"smnorm","lcv",0.00145693244128714,0.453549760282094,1.52818105011291,2.92292269468307
3,125,2,4,"smlnorm","lscv",0.00341377529922776,0.468274022414749,0.154859238038415,6.48854130506516
3,125,2,5,"Wishart","lcv",0.00194845895776258,0.617668765390046,0.124081662415732,19.0747285326322
3,125,3,1,"smlnorm","lcv",29.0824004287202,0.524105455689495,0.175158859538263,3.07820085684458
3,125,3,2,"Wishart","lscv",18.8031376664307,0.452717471979207,0.0683645376966062,22.959433678786
3,125,3,3,"smnorm","lcv",127.54644089793,1.19392052442027,0.220861513495208,0.431828399499257
3,125,3,4,"smlnorm","lscv",25.6251820666541,0.506375649260012,0.145538674860902,3.56712222099304
3,125,3,5,"Wishart","lcv",23.003255548078,0.463918522462644,0.0905524854021406,17.1465682387352
3,125,4,1,"smlnorm","lcv",3.1932683471753,0.350589326643356,0.120426915331644,4.39481699466705
3,125,4,2,"Wishart","lscv",3.65103396213735,0.358185204833204,0.0446013958496033,30.9957338293393
3,125,4,3,"smnorm","lcv",27.9923227754284,0.804711061545451,0.0162894823770445,1.00302703380585
3,125,4,4,"smlnorm","lscv",2.94469223724383,0.348569849792118,0.111399163021784,4.76544956366221
3,125,4,5,"Wishart","lcv",4.36134258054896,0.348318073454201,0.0568430471536373,22.4073164304098
3,125,5,1,"smlnorm","lcv",0.0192360156156846,0.459995302783912,0.806408865494797,2.94311058123906
3,125,5,2,"Wishart","lscv",0.0229102566155724,0.790995009202512,0.318655028098772,19.2083073139191
3,125,5,3,"smnorm","lcv",0.0623814527935118,0.958411833564622,9.99995170193697,0.427044200897217
3,125,5,4,"smlnorm","lscv",0.0219554814805586,0.443116942819688,0.370136533748486,7.14094024896622
3,125,5,5,"Wishart","lcv",0.0224000331621488,0.746052298224043,0.293495365726527,22.9417105436325
3,125,6,1,"smlnorm","lcv",NA,0.497639469337763,1.035701778313,4.80612529913584
3,125,6,2,"Wishart","lscv",NA,NA,9.99994901384641,0.320848294099172
3,125,6,3,"smnorm","lcv",NA,0.99065020801694,0.944838971009693,0.240698413054148
3,125,6,4,"smlnorm","lscv",NA,0.494542419328526,0.683575220974661,6.85015294551849
3,125,6,5,"Wishart","lcv",NA,NA,3.76527484877032,0.17538731098175
4,125,1,1,"smlnorm","lcv",0.00367830310224507,0.440595099264908,0.252100395956206,6.72945648829142
4,125,1,2,"Wishart","lscv",0.00343893699723544,0.90950541166294,0.250952116774324,18.4645464857419
4,125,1,3,"smnorm","lcv",0.00456768319125683,0.704503498403241,1.44480326553618,2.95384457111359
4,125,1,4,"smlnorm","lscv",0.00941951136038282,0.480921575011055,0.11092669942487,12.8933908104897
